	Review
8395	I like acer product also.
8483	this Acer Aspire 3 laptop be run great.
8568	I choose this laptop because I have a similar Acer laptop for almost 6 year.
8596	this Acer laptop work nice.
8635	"""so far, the Acer be just what I need for my business."""
8647	got the Acer Aspire Great computer.
8651	the aspire 3 be just brilliant.
8938	use my new acer laptop.
9031	I love my old Acer and will try and make it work.
9032	he say he will now stay with Acer over Mac any day.
9070	the Acer be great.
9094	I would recommend the Acer Aspire- great value.
9140	Acer have always be my pick for a computer.
9221	I love this acer laptop.
9475	"""well, if you only need a dedicated computer for presentation with basic multifunctioning, multiple nonwebconnected Microsoft Office application, this computer do the job well."""
9476	"""well, if you only need a dedicated computer for presentation with basic multifunctioning, multiple nonwebconnected Microsoft Office application, this computer do the job well."""
9640	"""I should have look into this before purchase, but I be disappoint the key pad be different from my prior Acer laptop keypad."""
9641	"""I should have look into this before purchase, but I be disappoint the key pad be different from my prior Acer laptop keypad."""
9642	"""I should have look into this before purchase, but I be disappoint the key pad be different from my prior Acer laptop keypad."""
9643	"""I should have look into this before purchase, but I be disappoint the key pad be different from my prior Acer laptop keypad."""
9817	"""Previous ACER be a good choice, so that be why l purchase again through Best Buy."""
10107	Purchase anoter Acer Aspire 3 from another retailer for my wife.
10108	Purchase anoter Acer Aspire 3 from another retailer for my wife.
10109	Purchase anoter Acer Aspire 3 from another retailer for my wife.
10461	I plan on call Acer customer service to see if I just get a dud or if there s something they can do to fix this.
10571	"""call Amazon and the rep troubleshot with I over the phone, consult with a sup and state the Acer machine have an issue."""
10572	"""call Amazon and the rep troubleshot with I over the phone, consult with a sup and state the Acer machine have an issue."""
10573	"""call Amazon and the rep troubleshot with I over the phone, consult with a sup and state the Acer machine have an issue."""
10574	Acer be my go to brand for laptop purchase.
10604	how do a company as big as Acer ship a product that do not even work?
10624	"""compare to my trusty phoneI have an old Acer about a year ago and as much as I do not want to let it go, it be time for a new one."""
10648	I tell he to consider Acer because that be my favorite Windows brand.
10719	I complain to Acer and tell they they should give I a partial refund.
