	Review
1015	save a phone charger.
1016	save a phone charger.
1017	"""also, like its power adapter, typec outlet offer 5v voltage output."""
1018	"""also, like its power adapter, typec outlet offer 5v voltage output."""
1019	"""also, like its power adapter, typec outlet offer 5v voltage output."""
1020	"""also, like its power adapter, typec outlet offer 5v voltage output."""
1036	I will keep watch to see if the battery be the culprit.
1037	"""this morning I notice that even though the charger be recognize and plug in, the charge be steadily decrease."""
1038	"""this morning I notice that even though the charger be recognize and plug in, the charge be steadily decrease."""
1153	I be refunded 37811.
1154	have to buy this other part which plug into the usb port and output video to to monitor for extended display.
1155	have to buy this other part which plug into the usb port and output video to to monitor for extended display.
1156	have to buy this other part which plug into the usb port and output video to to monitor for extended display.
1157	have to buy this other part which plug into the usb port and output video to to monitor for extended display.
1158	have to buy this other part which plug into the usb port and output video to to monitor for extended display.
1159	have to buy this other part which plug into the usb port and output video to to monitor for extended display.
1173	wish there be keyboard backlight for late hour work.
1174	a short time later the bottom right corner start stick when I would double click.
1175	a short time later the bottom right corner start stick when I would double click.
1176	a short time later the bottom right corner start stick when I would double click.
1177	"""I ve update the bio, update Windows update setting etc."""
1178	second update.
1220	"""I do not realize that the keyboard do not light up, other then that I really like my purchase."""
1221	"""I do not realize that the keyboard do not light up, other then that I really like my purchase."""
1222	"""I do not realize that the keyboard do not light up, other then that I really like my purchase."""
1284	I m assume that either the charge port or something about my battery need to be replace.
1285	I m assume that either the charge port or something about my battery need to be replace.
1292	"""they be now schedule the Fifth service appointment, the first four- the tech do not show up."""
1293	"""they be now schedule the Fifth service appointment, the first four- the tech do not show up."""
1294	"""they be now schedule the Fifth service appointment, the first four- the tech do not show up."""
1295	show up broken and would not refund I.
1347	I will never buy anything from this vendor again.
1348	I will never buy anything from this vendor again.
1357	my guess be the poor quality of the casing allow for electronic underneath to be affect and cause issue.
1358	I m go to return this piece of junk ASAPThis be an update.
1382	the only negative be there be no back light keyboard.
1383	the only negative be there be no back light keyboard.
1384	"""Mouse pad do not work right out of the box, despite buy the extended service plan."""
1385	"""Mouse pad do not work right out of the box, despite buy the extended service plan."""
1386	"""Mouse pad do not work right out of the box, despite buy the extended service plan."""
1446	I would purchase again.
2678	"""FAT 16sdhc232 GB, fat32sdxc32 gb to 2 TB exfat."""
2679	"""FAT 16sdhc232 GB, fat32sdxc32 gb to 2 TB exfat."""
2680	"""FAT 16sdhc232 GB, fat32sdxc32 gb to 2 TB exfat."""
2681	"""FAT 16sdhc232 GB, fat32sdxc32 gb to 2 TB exfat."""
2682	card slot support: sd up to 2 GB.
2683	"""one usb 20 port, two usb 32 gen 1 port, gen2 or USB4 be well."""
2684	HDMI 14- 21b be new.
2726	very disappointed with the product and the tech support.
2727	"""WAVLINK, usb 30 or usb c to HDMI Adapter for Dual Monitors."""
2728	"""WAVLINK, usb 30 or usb c to HDMI Adapter for Dual Monitors."""
2729	"""WAVLINK, usb 30 or usb c to HDMI Adapter for Dual Monitors."""
2733	for another issue be the cursor inadvertently go into highlight mode.
2734	for another issue be the cursor inadvertently go into highlight mode.
2750	its a fabulous product at this priceonly drawback.
2751	its a fabulous product at this priceonly drawback.
2832	if I pick up the unit by the low right or leave corner the cursor move around the screen on its own and random typing of letter appear if a text box be in use.
2833	if I pick up the unit by the low right or leave corner the cursor move around the screen on its own and random typing of letter appear if a text box be in use.
2834	if I pick up the unit by the low right or leave corner the cursor move around the screen on its own and random typing of letter appear if a text box be in use.
2970	"""however, if out of the box configuration be not ideal, perform a factory reset from BIOS."""
2971	"""however, if out of the box configuration be not ideal, perform a factory reset from BIOS."""
2972	"""however, if out of the box configuration be not ideal, perform a factory reset from BIOS."""
2973	all the good feature and powerful enough to handle the tough task.
2977	"""other than that, ok for the price."""
3016	"""finally, I have notice the plastic frame especially to the right and left of the mouse pad be flimsy."""
3017	"""finally, I have notice the plastic frame especially to the right and left of the mouse pad be flimsy."""
3018	as I move the cursor I have to use the touch screen to unclick the frozen highlighting.
3019	as I move the cursor I have to use the touch screen to unclick the frozen highlighting.
3032	great product at a reasonable price.
3033	then the screen go black.
3058	"""after watch a quick video on YouTube about possible solution, I take the author advice and make sure to check for any recent update and double check."""
3059	"""after watch a quick video on YouTube about possible solution, I take the author advice and make sure to check for any recent update and double check."""
3060	"""after watch a quick video on YouTube about possible solution, I take the author advice and make sure to check for any recent update and double check."""
3061	"""after watch a quick video on YouTube about possible solution, I take the author advice and make sure to check for any recent update and double check."""
3087	"""the lap top be run very hot to the touch and the battery life be short, must keep plug in."""
3088	"""the lap top be run very hot to the touch and the battery life be short, must keep plug in."""
3089	"""the lap top be run very hot to the touch and the battery life be short, must keep plug in."""
3124	"""if you experience this issue, please be sure to contact tech support, but also make sure you be fully update."""
3125	"""if you experience this issue, please be sure to contact tech support, but also make sure you be fully update."""
3126	"""if you experience this issue, please be sure to contact tech support, but also make sure you be fully update."""
3165	"""I have to save everything I m do every evening, since every morning I have to do a hard shut and restart and I lose whatever I be work on."""
3166	"""I have to save everything I m do every evening, since every morning I have to do a hard shut and restart and I lose whatever I be work on."""
3189	"""I m hope that my unit be an exception, but please be warn before purchase that your unit might experience similar issue."""
3193	slow to bootup and feel cheap.
3194	slow to bootup and feel cheap.
3276	"""with this kind of spec, with Ram and storage, other brand would cost much high than this product."""
3277	"""with this kind of spec, with Ram and storage, other brand would cost much high than this product."""
3628	this laptop offer exceptional value for its price.
3669	"""for daily work, the ultimate mobility be a cellphone, the ultimate performance be a desktop, though it be not that lightweight and powerful."""
3670	"""for daily work, the ultimate mobility be a cellphone, the ultimate performance be a desktop, though it be not that lightweight and powerful."""
3671	"""for daily work, the ultimate mobility be a cellphone, the ultimate performance be a desktop, though it be not that lightweight and powerful."""
3672	"""for daily work, the ultimate mobility be a cellphone, the ultimate performance be a desktop, though it be not that lightweight and powerful."""
3673	"""for daily work, the ultimate mobility be a cellphone, the ultimate performance be a desktop, though it be not that lightweight and powerful."""
3678	"""this laptop have a bezel and body make of cheap soft plastic that break after 2 month of just opening and close it, since it be under warranty."""
3679	"""this laptop have a bezel and body make of cheap soft plastic that break after 2 month of just opening and close it, since it be under warranty."""
3680	"""this laptop have a bezel and body make of cheap soft plastic that break after 2 month of just opening and close it, since it be under warranty."""
3688	brand new laptop boot up with a windows xbox error message pop up consistently.
3689	brand new laptop boot up with a windows xbox error message pop up consistently.
3707	my previous laptop be on life support and I be force to take action and buy a new one.
3708	"""two week after I receive the laptop, I start to get error message and then the screen freeze."""
3709	"""two week after I receive the laptop, I start to get error message and then the screen freeze."""
3710	"""two week after I receive the laptop, I start to get error message and then the screen freeze."""
3826	"""why be Windows 11 so different from Windows 10bought this pc for my wife, who be proficient on Windows 10However, this pc have be a complete disaster because she frequently run into feature that do not work the same."""
3833	buy this for my teen son to use for his pod castHe be able to hook up all the extra equipment with no issue.
3902	"""I have have my laptop for less than a month and I notice that after charge the battery to 100, it would only last about 2 hour max before need to be plug in again."""
3903	"""I have have my laptop for less than a month and I notice that after charge the battery to 100, it would only last about 2 hour max before need to be plug in again."""
3909	5 star if it have a touch screen and a lighted keyboard.
3910	5 star if it have a touch screen and a lighted keyboard.
3911	5 star if it have a touch screen and a lighted keyboard.
3916	purchase this and setup for a customer.
3917	purchase this and setup for a customer.
3918	purchase this and setup for a customer.
3948	"""why be Windows 11 so different from Windows 10bought this pc for my wife, who be proficient on Windows 10However, this pc have be a complete disaster because she frequently run into feature that do not work the same."""
3949	this laptop do not have a usbc port with video for a third monitor.
3950	this laptop do not have a usbc port with video for a third monitor.
3951	this laptop do not have a usbc port with video for a third monitor.
3970	buy this for my teen son to use for his pod castHe be able to hook up all the extra equipment with no issue.
4119	would you stay home from work for the fifth time to see if the tech show upI buy a Lenova and it be a superior laptop.
4120	would you stay home from work for the fifth time to see if the tech show upI buy a Lenova and it be a superior laptop.
4121	would you stay home from work for the fifth time to see if the tech show upI buy a Lenova and it be a superior laptop.
4207	I send it back for a refund so that I could purchase a suitable device.
4208	I send it back for a refund so that I could purchase a suitable device.
4216	"""not a big deal, since all be good with the laptop and adapt, but it leave I a bit concerned."""
4217	"""not a big deal, since all be good with the laptop and adapt, but it leave I a bit concerned."""
4233	so this be a used laptop that I buy as new.
4298	"""that aside, so far the laptop perform well, but this charge issue be very concern and not a positiveedit."""
4299	"""that aside, so far the laptop perform well, but this charge issue be very concern and not a positiveedit."""
4300	"""that aside, so far the laptop perform well, but this charge issue be very concern and not a positiveedit."""
4376	"""also, it do not always move the cursor to the spot I click."""
4377	I would not buy it again unless it have a more durable case and mouse pad.
4378	I would not buy it again unless it have a more durable case and mouse pad.
4379	there s no note about it be refresh in the description.
4380	"""I can not help wonder if this be a used computer, with all the problem and the fact that it do not come in the original packaging."""
4381	"""I would have rather spend an extra 100 for a new machine, which I think I be get its shame, since it otherwise run really well and be a great price, but this sleep issue be a nuisance."""
4382	"""I would have rather spend an extra 100 for a new machine, which I think I be get its shame, since it otherwise run really well and be a great price, but this sleep issue be a nuisance."""
4383	the only reason I do not give it full star be that it do not arrive in the original packaging.
4384	there s no note about it be refresh in the description.
4397	this be minor and I have a fix for that by order a usb light that plug into the side of my laptop.
4398	this be minor and I have a fix for that by order a usb light that plug into the side of my laptop.
4399	this be minor and I have a fix for that by order a usb light that plug into the side of my laptop.
5102	I buy it to dj.
5185	it have one hdmi port to hook to one monitor.
5186	it have one hdmi port to hook to one monitor.
5212	I try everything to restart the laptop and nothing work.
5213	I have literally not use it as it die quickly after be unplugged and perpetually update.
5214	I have literally not use it as it die quickly after be unplugged and perpetually update.
5494	"""with its i7 processor, it deliver high performance and seamlessly integrate with other device via Windows 11. its thin, lightweight design and quiet operation make it a top choice for professional."""
5495	"""with its i7 processor, it deliver high performance and seamlessly integrate with other device via Windows 11. its thin, lightweight design and quiet operation make it a top choice for professional."""
5496	"""with its i7 processor, it deliver high performance and seamlessly integrate with other device via Windows 11. its thin, lightweight design and quiet operation make it a top choice for professional."""
5497	"""with its i7 processor, it deliver high performance and seamlessly integrate with other device via Windows 11. its thin, lightweight design and quiet operation make it a top choice for professional."""
5499	this pc meet all my expectation and my customer be very satisfied.
5532	it have enough storage so I be not afraid of run out.
5541	after a few week I notice the mouse pad be not as responsive as when I first get it.
5567	"""while try to remove my information, it crash again and would not restart."""
5568	it have preform perfectly thus far.
5745	"""I feel, while use this laptop, be lack of a fingerprint unlocking option, which be very common these day, and the keyboard feel a bit plasticy, probably due to its spill resistant technology."""
5746	"""I feel, while use this laptop, be lack of a fingerprint unlocking option, which be very common these day, and the keyboard feel a bit plasticy, probably due to its spill resistant technology."""
5747	"""I feel, while use this laptop, be lack of a fingerprint unlocking option, which be very common these day, and the keyboard feel a bit plasticy, probably due to its spill resistant technology."""
6698	"""t600 be an entry level professional gpu, but as least it can assist CPU more or less."""
6699	"""t600 be an entry level professional gpu, but as least it can assist CPU more or less."""
6700	"""t600 be an entry level professional gpu, but as least it can assist CPU more or less."""
6701	"""t600 be an entry level professional gpu, but as least it can assist CPU more or less."""
6711	after the update and shutdown I wait an hour or so and boot my computer up to see if it help the charge eventually begin to increase and I be able to use my laptop again.
6712	after the update and shutdown I wait an hour or so and boot my computer up to see if it help the charge eventually begin to increase and I be able to use my laptop again.
6713	after the update and shutdown I wait an hour or so and boot my computer up to see if it help the charge eventually begin to increase and I be able to use my laptop again.
6979	it will not shut down or restart without be force.
6980	"""it put itself to sleep and will not wake up with out a hard shutdown, hold the button for 10 second and restart."""
6981	"""it put itself to sleep and will not wake up with out a hard shutdown, hold the button for 10 second and restart."""
6982	"""there be bad problem in life, but this be really annoyingit work great, very good value for the price."""
6983	"""there be bad problem in life, but this be really annoyingit work great, very good value for the price."""
6984	"""it put itself to sleep and will not wake up with out a hard shutdown, hold the button for 10 second and restart."""
6985	"""it put itself to sleep and will not wake up with out a hard shutdown, hold the button for 10 second and restart."""
7040	it crash so many time that I lose count and I just get it as a Christmas present.
7131	call Dell and be tell I d need to pay for software support for a brand new pc.
7153	send it back and buy a HP.
7154	send it back and buy a HP.
7155	I call Dell again and then find out that the motherboard have be replace once before.
7156	"""I m get the runaround from Dell, Amazon and the seller to talk about get it fix or replace."""
7157	"""I m get the runaround from Dell, Amazon and the seller to talk about get it fix or replace."""
7268	it come with Windows 11. the only downside with it be you can not adjust your toolbar anymore and it allow I to run program I could not on my chromebook.
7901	my computer come with a 97 Wh battery which maybe second high capacity in all dell laptop and i7 12800H dose a good job in picture rendering and energy save with its 6c8c design.
7902	my computer come with a 97 Wh battery which maybe second high capacity in all dell laptop and i7 12800H dose a good job in picture rendering and energy save with its 6c8c design.
7903	my computer come with a 97 Wh battery which maybe second high capacity in all dell laptop and i7 12800H dose a good job in picture rendering and energy save with its 6c8c design.
7904	my computer come with a 97 Wh battery which maybe second high capacity in all dell laptop and i7 12800H dose a good job in picture rendering and energy save with its 6c8c design.
7905	my computer come with a 97 Wh battery which maybe second high capacity in all dell laptop and i7 12800H dose a good job in picture rendering and energy save with its 6c8c design.
7957	"""even after turn it off and leave it to charge, there be no change in the battery levelafter 30 minute on the phone with Dell tech support, it be ultimately determine that I will have to send my unit to Dell so that they can far inspect and replace any faulty part."""
7958	"""even after turn it off and leave it to charge, there be no change in the battery levelafter 30 minute on the phone with Dell tech support, it be ultimately determine that I will have to send my unit to Dell so that they can far inspect and replace any faulty part."""
7959	"""even after turn it off and leave it to charge, there be no change in the battery levelafter 30 minute on the phone with Dell tech support, it be ultimately determine that I will have to send my unit to Dell so that they can far inspect and replace any faulty part."""
7960	"""even after turn it off and leave it to charge, there be no change in the battery levelafter 30 minute on the phone with Dell tech support, it be ultimately determine that I will have to send my unit to Dell so that they can far inspect and replace any faulty part."""
7988	this also occur if I push too hard on the lower left area under the keypad where my palm rest while type.
7989	"""I m go to have to call Dell support Chrome use to freeze a lot, but I disable Windows Defender and replace it with Free AVG and that s now ok."""
7990	"""I m go to have to call Dell support Chrome use to freeze a lot, but I disable Windows Defender and replace it with Free AVG and that s now ok."""
